"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","playerid"
"David Aardsma","Mets","22.0","2.86","92","16","7","7","4","7","2","3","23",".195",".286",".375",".286","1902"
"Gio Gonzalez","Nationals","97.1","2.87","405","87","32","31","7","36","1","1","92",".236",".310",".365",".300","7448"
"Luke Gregerson","Padres","37.1","2.89","149","25","16","12","2","9","1","2","32",".181",".243",".279",".233","4090"
"Hiram Burgos","Brewers","15.1","2.93","65","15","5","5","2","5","0","0","10",".250",".313",".373",".306","9412"
"Brad Brach","Padres","18.1","2.95","77","19","10","6","2","8","0","0","17",".275",".351",".388",".327","6627"
"Alfredo Simon","Reds","42.2","2.95","169","28","16","14","6","9","0","5","37",".181",".253",".344",".267","2155"
"Kyle Lohse","Brewers","103.0","2.97","415","103","36","34","13","16","1","3","63",".260",".298",".418",".313","739"
"Patrick Corbin","Diamondbacks","109.0","2.97","446","93","37","36","9","31","1","5","98",".227",".292",".357",".289","9323"
"Tony Cingrani","Reds","44.2","3.02","184","35","17","15","8","22","1","0","53",".216",".313",".453",".333","12555"
"Julio Teheran","Braves","97.2","3.04","405","90","33","33","10","22","2","6","104",".239",".294",".388",".298","6797"
"John Lannan","Phillies","44.1","3.05","183","38","19","15","1","11","0","3","22",".225",".292",".348",".283","7080"
"Randy Choate","Cardinals","17.2","3.06","71","14","6","6","0","3","0","2","17",".212",".271",".277",".250","813"
"Rafael Soriano","Nationals","35.1","3.06","150","34","13","12","3","12","1","0","27",".246",".309",".328",".285","1100"
"Sam LeCure","Reds","35.1","3.06","149","32","12","12","3","15","0","0","39",".239",".318",".353",".302","4664"
"Eric Stults","Padres","100.0","3.06","401","87","38","34","9","18","0","1","75",".228",".268",".369",".279","8011"
"James McDonald","Pirates","14.2","3.07","65","12","10","5","0","8","0","1","13",".214",".323",".304",".289","5523"
"Manny Corpas","Rockies","20.1","3.10","82","16","7","7","1","7","1","1","15",".216",".296",".338",".277","2807"
"Ross Ohlendorf","Nationals","40.2","3.10","163","39","14","14","6","7","1","1","31",".252",".294",".441",".318","8268"
"Brandon Kintzler","Brewers","40.2","3.10","168","42","14","14","1","12","2","1","28",".271",".331",".344",".298","9939"
"Carlos Marmol","- - -","28.2","3.14","122","18","11","10","2","19","0","2","39",".178",".320",".300",".289","2790"
"Alex Wood","Braves","42.2","3.16","175","38","15","15","2","16","0","1","48",".241",".320",".333",".294","13781"
"Henry Rodriguez","- - -","11.1","3.18","57","9","5","4","1","13","1","1","8",".209",".404",".372",".352","6371"
"Jeremy Affeldt","Giants","19.2","3.20","84","16","7","7","1","9","2","2","13",".219",".329",".300",".281","583"
"Gonzalez Germen","Mets","19.2","3.20","80","15","7","7","1","6","0","0","20",".203",".263",".311",".257","5876"
