Brewers	Mike Fiers	Theme from "Saw"	Charlie Clouser	Soundtrack	https://itunes.apple.com/us/album/hello-zepp/id27066634?i=27066630&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Norichika Aoki	WWE: ChaChaLaLa (Fandango)	Jim Johnston	Soundtrack	https://itunes.apple.com/us/album/wwe-chachalala-fandango/id614738696?i=614739193&uo=4&at=10l3Hj&ct=mobile_music
Brewers	 Jean Segura	Un Loco Como Yo	Poeta Callejero		
Brewers	Tom Gorzelanny	When the Levee Breaks	Led Zeppelin	Rock	https://itunes.apple.com/us/album/when-the-levee-breaks/id266075192?i=266075537&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Tyler Thornburg	Chelsea Dagger	The Fratellis	Alternative	https://itunes.apple.com/us/album/chelsea-dagger/id217959525?i=217959591&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Tyler Thornburg	Dead or Alive	Bon Jovi	Rock	https://itunes.apple.com/us/album/wanted-dead-or-alive/id397237803?i=397237961&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Wily Peralta	Ponteme Melia	Chimbala	Hip-Hop/Rap	https://itunes.apple.com/us/album/ponteme-melma-feat.-wilo-d-new/id590710245?i=590710330&uo=4&at=10l3Hj&ct=mobile_music
Brewers	Yovani Gallardo	My Time	Fabolous	Hip-Hop/Rap	https://itunes.apple.com/us/album/my-time/id324625850?i=324626033&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	 Matt Adams	What Da Hook Gon Be	Nelly		
Cardinals	Adam Wainwright	Song of the South	Alabama	Country	https://itunes.apple.com/us/album/song-of-the-south/id219381869?i=219381945&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	Adron Chambers	Better Believe It	Yo Gotti		
Cardinals	Allen Craig	Function	E40		
Cardinals	 Carlos Beltran	Echa Pa'lla	Pitbull	Pop Latino	https://itunes.apple.com/us/album/echa-palla-manos-parriba/id542577392?i=542577393&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	Carlos Beltran	Welcome to the Jungle	Guns N' Roses	Rock	https://itunes.apple.com/us/album/sweet-child-o-mine/id113736?i=113728&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	 Tony Cruz	Can't Hold Me Down - Instrumental	P-Diddy		
Cardinals	 Tony Cruz	Don't Stop the Party (feat. TJR)	Pitbull	Pop	https://itunes.apple.com/us/album/dont-stop-the-party-feat.-tjr/id596575727?i=596576353&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	Daniel Descalso	The Motto	Drake	Hip-Hop/Rap	https://itunes.apple.com/us/album/motto-bonus-track-feat.-lil/id479756751?i=479756819&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	 Daniel Descalso	Dani California	Red Hot Chili Peppers	Alternative	https://itunes.apple.com/us/album/dani-california/id208036484?i=208036515&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	Edward Mujica	Rescate	Alexis Y Fido	Reggaeton y Hip-Hop	https://itunes.apple.com/us/album/rescate-feat.-daddy-yankee/id419758276?i=419758328&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	 David Freese	Forty Six and 2	Tool		
Cardinals	 Matt Holliday	WWE: Crank It Up (Big Show) [feat. Brand New Sin]	Jim Johnston	Soundtrack	https://itunes.apple.com/us/album/wwe-crank-it-up-big-show-feat./id441923360?i=441923361&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	Jake Westbrook	Souther Star	Alabama	Country	https://itunes.apple.com/us/album/southern-star/id253356116?i=253357976&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	John Axford	New Noise	Refused	Alternative	https://itunes.apple.com/us/album/new-noise/id300995967?i=300995978&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	Jon Jay	Born and Raised	Pitbull	Hip-Hop/Rap	https://itunes.apple.com/us/album/born-n-raised-dj-khaled-featuring/id200523381?i=200543085&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	Jon Jay	Public Service Announcement	Jay-Z	Hip-Hop/Rap	https://itunes.apple.com/us/album/public-service-announcement/id3566075?i=3566065&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	 Pete Kozma	Around The World	Red Hot Chili Peppers	Alternative	https://itunes.apple.com/us/album/around-the-world/id130244757?i=130242291&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	 Pete Kozma	Keep Away	Godsmack	Rock	https://itunes.apple.com/us/album/keep-away/id369370566?i=369370597&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	 Lance Lynn	Country Boy Can Survive	Hank Williams Jr.	Country	https://itunes.apple.com/us/album/a-country-boy-can-survive/id71580665?i=71580629&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	Matt Adams	Cash Flow	Ace Hood	Hip-Hop/Rap	https://itunes.apple.com/us/album/cash-flow-feat.-rick-ross/id295997700?i=295997706&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	Matt Carpenter	Long Hot Summer Day	Turnpike Troubadours	Country	https://itunes.apple.com/us/album/long-hot-summer-day/id388238861?i=388240498&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	 Shelby Miller	Can't Hold Us	Macklemore	Hip-Hop/Rap	https://itunes.apple.com/us/album/cant-hold-us-feat.-ray-dalton/id560097651?i=560097694&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	Shane Robinson	Shoots and Ladders	KoRn	Metal	https://itunes.apple.com/us/album/shoots-and-ladders/id158049536?i=158050210&uo=4&at=10l3Hj&ct=mobile_music
Cardinals	Yadier Molina	Sigan Bailando	Wisin Y Yandel	Reggaeton y Hip-Hop	https://itunes.apple.com/us/album/sigan-bailando-feat.-tego/id414729996?i=414730037&uo=4&at=10l3Hj&ct=mobile_music
Cubs	 Jake Arrieta	Disorganized Fun	Ronald Jenkees	Electronic	https://itunes.apple.com/us/album/disorganized-fun/id326461768?i=326461775&uo=4&at=10l3Hj&ct=mobile_music
Cubs	Brian Bogusevic	when the levee breaks	led zeppelin	Rock	https://itunes.apple.com/us/album/when-the-levee-breaks/id266075192?i=266075537&uo=4&at=10l3Hj&ct=mobile_music
Cubs	Carlos Villanueva	Ahora Son Mejor	Don Omar	Reggaeton y Hip-Hop	https://itunes.apple.com/us/album/ahora-son-mejor/id160731544?i=160731686&uo=4&at=10l3Hj&ct=mobile_music
Cubs	Daniel Bard	When The Levee Breaks	Led Zeppelin	Rock	https://itunes.apple.com/us/album/when-the-levee-breaks/id266075192?i=266075537&uo=4&at=10l3Hj&ct=mobile_music
Cubs	 Donnie Murphy	Promises	Nero (feat. Skrillex)	Electronic	https://itunes.apple.com/us/album/promises-skrillex-nero-remix/id570909410?i=570909430&uo=4&at=10l3Hj&ct=mobile_music
Cubs	Nate Schierholtz	War and Peace	Godsmack	Rock	https://itunes.apple.com/us/album/war-and-peace/id369368047?i=369368165&uo=4&at=10l3Hj&ct=mobile_music
Cubs	Ryan Sweeney	Good Good Night	Roscoe Dash	Hip-Hop/Rap	https://itunes.apple.com/us/album/good-good-night/id467710677?i=467710692&uo=4&at=10l3Hj&ct=mobile_music
Cubs	Ryan Sweeney	No Hands	Waka Flocka Flame	Hip-Hop/Rap	https://itunes.apple.com/us/album/no-hands-feat.-roscoe-dash/id389062509?i=389062510&uo=4&at=10l3Hj&ct=mobile_music
Cubs	Ryan Sweeney	The Motto	Drake	Hip-Hop/Rap	https://itunes.apple.com/us/album/motto-bonus-track-feat.-lil/id479756751?i=479756819&uo=4&at=10l3Hj&ct=mobile_music
Cubs	 Pedro Strop	Traigo Fuego	Jose Peña Suazo	Salsa y Tropical	https://itunes.apple.com/us/album/traigo-fuego/id64827472?i=64827109&uo=4&at=10l3Hj&ct=mobile_music
